PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,Title
976,2,1,1,0,0,1,2,0,1,1,1
977,3,1,2,1,0,2,1,0,2,0,1
978,3,0,1,0,0,0,2,0,1,1,4
979,3,0,1,0,0,1,0,0,1,1,4
980,3,0,1,0,0,0,2,0,1,1,4
981,2,1,0,1,1,2,0,0,3,0,2
982,3,0,1,1,0,1,0,0,2,0,3
983,3,1,1,0,0,0,0,0,1,1,1
984,1,0,1,1,2,3,0,1,4,0,3
985,3,1,1,0,0,1,0,0,1,1,1
986,1,1,1,0,0,2,1,0,1,1,1
987,3,1,1,0,0,0,0,0,1,1,1
988,1,0,76,1,0,3,0,1,2,0,3
989,3,1,1,0,0,1,0,0,1,1,1
990,3,0,1,0,0,0,0,0,1,1,4
991,3,1,2,0,0,1,0,0,1,1,1
992,1,0,2,1,0,3,1,1,2,0,3
993,2,1,1,1,0,2,0,0,2,0,1
994,3,1,2,0,0,0,2,0,1,1,1
995,3,1,1,0,0,0,0,0,1,1,1
996,3,0,0,1,1,1,1,0,3,0,3
997,3,1,1,0,0,2,0,0,1,1,1
998,3,1,1,0,0,0,2,0,1,1,1
999,3,1,1,0,0,0,2,0,1,1,1
1000,3,1,2,0,0,1,0,0,1,1,1
1001,2,1,1,0,0,1,0,1,1,1,1
1002,2,1,2,0,0,2,1,0,1,1,1
1003,3,0,1,0,0,0,2,0,1,1,4
1004,1,0,2,0,0,3,1,1,1,1,4
1005,3,0,1,0,0,0,2,0,1,1,4
1006,1,0,3,1,0,3,0,1,2,0,3
1007,3,1,1,1,0,2,1,0,2,0,1
1008,3,1,1,0,0,0,1,0,1,1,1
1009,3,0,0,1,1,2,0,1,3,0,4
1010,1,1,2,0,0,3,1,1,1,1,1
1011,2,0,1,1,0,2,0,0,2,0,3
1012,2,0,0,0,0,2,0,0,1,1,4
1013,3,1,2,1,0,0,2,0,2,0,1
1014,1,0,2,1,0,3,1,1,2,0,3
1015,3,1,1,0,0,0,0,0,1,1,1
1016,3,1,2,0,0,0,2,0,1,1,1
1017,3,0,1,0,1,2,0,0,2,0,4
1018,3,1,1,0,0,0,0,0,1,1,1
1019,3,0,1,2,0,2,2,0,3,0,4
1020,2,1,2,0,0,1,0,0,1,1,1
1021,3,1,1,0,0,1,0,0,1,1,1
1022,3,1,1,0,0,1,0,0,1,1,1
1023,1,1,3,0,0,2,1,1,1,1,5
1024,3,0,1,0,4,2,0,0,5,0,3
1025,3,1,2,1,0,0,1,0,2,0,1
1026,3,1,2,0,0,0,0,0,1,1,1
1027,3,1,1,0,0,0,0,0,1,1,1
1028,3,1,1,0,0,0,1,0,1,1,1
1029,2,1,1,0,0,1,0,0,1,1,1
1030,3,0,1,0,0,1,0,0,1,1,4
1031,3,1,2,1,6,3,0,0,8,0,1
1032,3,0,0,5,2,3,0,0,8,0,4
1033,1,0,2,0,0,3,0,0,1,1,4
1034,1,1,3,1,3,3,1,1,5,0,1
1035,2,1,1,0,0,2,0,0,1,1,1
1036,1,1,2,0,0,2,0,0,1,1,1
1037,3,1,1,3,0,2,0,0,4,0,1
1038,1,1,1,0,0,3,0,1,1,1,1
1039,3,1,1,0,0,1,0,0,1,1,1
1040,1,1,2,0,0,2,0,0,1,1,1
1041,2,1,1,1,1,2,0,0,3,0,5
1042,1,0,1,0,1,3,1,1,2,0,3
1043,3,1,0,0,0,0,1,0,1,1,1
1044,3,1,3,0,0,2,0,0,1,1,1
1045,3,0,2,0,2,1,0,0,3,0,3
1046,3,1,0,4,2,3,0,0,7,0,2
1047,3,1,1,0,0,0,0,0,1,1,1
1048,1,0,1,0,0,3,0,1,1,1,4
1049,3,0,1,0,0,0,0,0,1,1,4
1050,1,1,2,0,0,2,0,1,1,1,1
1051,3,0,1,0,2,1,0,0,3,0,3
1052,3,0,2,0,0,0,2,0,1,1,4
1053,3,1,0,1,1,2,1,0,3,0,2
1054,2,0,1,0,0,1,0,0,1,1,4
1055,3,1,1,0,0,0,0,0,1,1,1
1056,2,1,2,0,0,1,0,0,1,1,5
1057,3,0,1,1,1,2,0,0,3,0,3
1058,1,1,2,0,0,3,1,1,1,1,1
1059,3,1,1,2,2,3,0,0,5,0,1
1060,1,0,1,0,0,2,1,0,1,1,3
1061,3,0,1,0,0,1,0,0,1,1,4
1062,3,1,1,0,0,0,0,0,1,1,1
1063,3,1,1,0,0,0,1,0,1,1,1
1064,3,1,1,1,0,1,0,0,2,0,1
1065,3,1,1,0,0,0,1,0,1,1,1
1066,3,1,2,1,5,3,0,0,7,0,1
1067,2,0,0,0,2,3,0,0,3,0,4
1068,2,0,1,0,0,3,0,0,1,1,4
1069,1,1,3,1,0,3,1,1,2,0,1
1070,2,0,2,0,3,3,0,1,4,0,3
1071,1,0,3,0,2,3,1,1,3,0,3
1072,2,1,1,0,0,1,0,0,1,1,1
1073,1,1,2,1,1,3,1,1,3,0,1
1074,1,0,1,1,0,3,0,1,2,0,3
1075,3,1,1,0,0,0,2,0,1,1,1
1076,1,0,1,1,1,3,1,1,3,0,3
1077,2,1,2,0,0,2,0,0,1,1,1
1078,2,0,1,0,1,2,0,0,2,0,4
1079,3,1,1,2,0,1,0,0,3,0,1
1080,3,0,1,8,2,3,0,0,11,0,4
1081,2,1,2,0,0,1,0,0,1,1,1
1082,2,1,2,1,0,2,0,0,2,0,1
1083,1,1,2,0,0,2,0,0,1,1,1
1084,3,1,0,1,1,2,0,0,3,0,2
1085,2,1,3,0,0,1,2,0,1,1,1
1086,2,1,0,0,2,3,0,0,3,0,2
1087,3,1,2,0,0,0,0,0,1,1,1
1088,1,1,0,0,2,3,1,1,3,0,2
1089,3,0,1,0,0,0,0,0,1,1,4
1090,2,1,1,0,0,1,0,0,1,1,1
1091,3,0,1,0,0,1,0,0,1,1,3
1092,3,0,1,0,0,2,2,0,1,1,4
1093,3,1,0,0,2,1,0,0,3,0,2
1094,1,1,2,1,0,3,1,1,2,0,5
1095,2,0,0,1,1,2,0,0,3,0,4
1096,2,1,1,0,0,1,0,0,1,1,1
1097,1,1,2,0,0,2,1,0,1,1,1
1098,3,0,2,0,0,0,2,0,1,1,4
1099,2,1,1,0,0,1,0,0,1,1,1
1100,1,0,2,0,0,2,1,1,1,1,4
1101,3,1,1,0,0,0,0,0,1,1,1
1102,3,1,1,0,0,2,0,0,1,1,1
1103,3,1,2,0,0,0,0,0,1,1,1
1104,2,1,1,0,0,3,0,0,1,1,1
1105,2,0,3,1,0,2,0,0,2,0,3
1106,3,0,2,4,2,0,0,0,7,0,4
1107,1,1,2,0,0,3,0,1,1,1,1
1108,3,0,2,0,0,0,2,0,1,1,4
1109,1,1,3,1,1,3,0,0,3,0,1
1110,1,0,3,1,1,3,1,1,3,0,3
1111,3,1,1,0,0,1,0,0,1,1,1
1112,2,0,1,1,0,1,1,0,2,0,4
1113,3,1,1,0,0,1,0,0,1,1,1
1114,2,0,1,0,0,1,0,1,1,1,3
1115,3,1,1,0,0,0,0,0,1,1,1
1116,1,0,3,0,0,2,1,0,1,1,3
1117,3,0,2,0,2,2,1,0,3,0,3
1118,3,1,1,0,0,0,0,0,1,1,1
1119,3,0,1,0,0,0,2,0,1,1,4
1120,3,1,2,0,0,2,0,0,1,1,1
1121,2,1,2,0,0,1,0,0,1,1,1
1122,2,1,0,0,0,3,0,0,1,1,1
1123,1,0,1,0,0,2,0,0,1,1,4
1124,3,1,1,1,0,0,0,0,2,0,1
1125,3,1,2,0,0,0,2,0,1,1,1
1126,1,1,2,1,0,3,1,1,2,0,1
1127,3,1,1,0,0,0,0,0,1,1,1
1128,1,1,3,1,0,3,1,1,2,0,1
1129,3,1,1,0,0,0,1,0,1,1,1
1130,2,0,1,1,1,1,0,0,3,0,4
1131,1,0,2,1,0,3,1,1,2,0,3
1132,1,0,3,0,0,2,1,0,1,1,3
1133,2,0,2,0,2,2,0,0,3,0,3
1134,1,1,2,1,1,3,1,1,3,0,1
1135,3,1,2,0,0,0,0,0,1,1,1
1136,3,1,2,1,2,2,0,0,4,0,2
1137,1,1,2,1,0,3,0,1,2,0,1
1138,2,0,1,0,0,2,0,0,1,1,3
1139,2,1,2,1,1,3,0,0,3,0,1
1140,2,0,1,1,0,2,0,0,2,0,3
1141,3,0,2,1,0,2,1,0,2,0,3
1142,2,0,0,1,2,2,0,0,4,0,4
1143,3,1,1,0,0,1,0,0,1,1,1
1144,1,1,1,1,0,3,1,1,2,0,1
1145,3,1,1,0,0,1,0,0,1,1,1
1146,3,1,1,0,0,1,0,0,1,1,1
1147,3,1,2,0,0,0,0,0,1,1,1
1148,3,1,1,0,0,0,2,0,1,1,1
1149,3,1,1,0,0,1,0,0,1,1,1
1150,2,0,1,0,0,1,0,0,1,1,4
1151,3,1,1,0,0,0,0,0,1,1,1
1152,3,1,2,1,0,2,0,0,2,0,1
1153,3,1,1,0,0,0,0,0,1,1,1
1154,2,0,1,0,2,2,0,0,3,0,3
1155,3,0,0,1,1,1,0,0,3,0,4
1156,2,1,1,0,0,1,1,0,1,1,1
1157,3,1,1,0,0,0,0,0,1,1,1
1158,1,1,2,0,0,0,0,0,1,1,1
1159,3,1,2,0,0,0,0,0,1,1,1
1160,3,0,1,0,0,1,0,0,1,1,4
1161,3,1,1,0,0,1,0,0,1,1,1
1162,1,1,2,0,0,3,1,1,1,1,1
1163,3,1,1,0,0,0,2,0,1,1,1
1164,1,0,1,1,0,3,1,1,2,0,3
1165,3,0,2,1,0,2,2,0,2,0,4
1166,3,1,2,0,0,0,1,0,1,1,1
1167,2,0,1,1,0,2,0,0,2,0,4
1168,2,1,1,0,0,1,0,0,1,1,1
1169,2,1,2,1,0,2,0,0,2,0,1
1170,2,1,1,1,0,2,0,0,2,0,1
1171,2,1,1,0,0,1,0,0,1,1,1
1172,3,0,1,0,0,1,0,0,1,1,4
1173,3,1,0,1,1,1,0,0,3,0,2
1174,3,0,2,0,0,0,2,0,1,1,4
1175,3,0,0,1,1,2,1,0,3,0,4
1176,3,0,0,1,1,2,0,0,3,0,4
1177,3,1,2,0,0,0,0,0,1,1,1
1178,3,1,2,0,0,0,0,0,1,1,1
1179,1,1,1,1,0,3,0,1,2,0,1
1180,3,1,2,0,0,0,1,1,1,1,1
1181,3,1,1,0,0,1,0,0,1,1,1
1182,1,1,1,0,0,3,0,0,1,1,1
1183,3,0,1,0,0,0,2,0,1,1,4
1184,3,1,1,0,0,0,1,0,1,1,1
1185,1,1,3,1,1,3,0,1,3,0,5
1186,3,1,2,0,0,1,0,0,1,1,1
1187,3,1,1,0,0,0,0,0,1,1,1
1188,2,0,0,1,2,3,1,0,4,0,4
1189,3,1,1,2,0,2,1,0,3,0,1
1190,1,1,1,0,0,3,0,0,1,1,1
1191,3,1,1,0,0,0,0,0,1,1,1
1192,3,1,1,0,0,0,0,0,1,1,1
1193,2,1,1,0,0,2,1,1,1,1,1
1194,2,1,2,0,1,2,0,0,2,0,1
1195,3,1,1,0,0,1,0,0,1,1,1
1196,3,0,2,0,0,0,2,0,1,1,4
1197,1,0,3,1,1,2,0,1,3,0,3
1198,1,1,1,1,2,3,0,1,4,0,1
1199,3,1,0,0,1,1,0,0,2,0,2
1200,1,1,3,1,1,3,0,1,3,0,1
1201,3,0,2,1,0,1,0,0,2,0,3
1202,3,1,1,0,0,1,0,0,1,1,1
1203,3,1,1,0,0,0,1,0,1,1,1
1204,3,1,2,0,0,0,0,0,1,1,1
1205,3,0,2,0,0,0,2,0,1,1,4
1206,1,0,3,0,0,3,1,1,1,1,3
1207,3,0,1,0,0,0,2,0,1,1,4
1208,1,1,3,1,0,3,1,1,2,0,1
1209,2,1,1,0,0,1,0,0,1,1,1
1210,3,1,1,0,0,0,0,0,1,1,1
1211,2,1,1,2,0,3,0,0,3,0,1
1212,3,1,1,0,0,0,0,0,1,1,1
1213,3,1,1,0,0,0,1,1,1,1,1
1214,2,1,1,0,0,1,0,1,1,1,1
1215,1,1,2,0,0,2,0,0,1,1,1
1216,1,0,2,0,0,3,0,0,1,1,4
1217,3,1,1,0,0,0,0,0,1,1,1
1218,2,0,0,2,1,3,0,1,4,0,4
1219,1,1,2,0,0,3,1,0,1,1,1
1220,2,1,1,1,0,2,0,0,2,0,1
1221,2,1,1,0,0,1,0,0,1,1,1
1222,2,0,2,0,2,3,0,0,3,0,3
1223,1,1,2,0,0,2,1,1,1,1,1
1224,3,1,1,0,0,0,1,0,1,1,1
1225,3,0,1,1,1,2,1,0,3,0,3
1226,3,1,1,0,0,0,0,0,1,1,1
1227,1,1,1,0,0,2,0,1,1,1,1
1228,2,1,1,0,0,1,0,0,1,1,1
1229,3,1,2,0,2,0,1,0,3,0,1
1230,2,1,1,0,0,3,0,0,1,1,1
1231,3,1,2,0,0,0,1,0,1,1,2
1232,2,1,1,0,0,1,0,0,1,1,1
1233,3,1,1,0,0,0,0,0,1,1,1
1234,3,1,2,1,9,3,0,0,11,0,1
1235,1,0,3,0,1,3,1,1,2,0,3
1236,3,1,1,1,1,2,0,0,3,0,2
1237,3,0,0,0,0,0,0,0,1,1,4
1238,2,1,1,0,0,1,0,0,1,1,1
1239,3,0,2,0,0,0,1,0,1,1,3
1240,2,1,1,0,0,1,0,0,1,1,1
1241,2,0,1,0,0,2,0,0,1,1,4
1242,1,0,2,0,1,3,1,1,2,0,3
1243,2,1,1,0,0,1,0,0,1,1,1
1244,2,1,1,0,0,3,0,0,1,1,1
1245,2,1,3,1,2,3,0,0,4,0,1
1246,3,0,0,1,2,2,0,0,4,0,4
1247,1,1,3,0,0,2,0,1,1,1,1
1248,1,0,3,2,0,3,0,1,3,0,3
1249,3,1,1,0,0,0,0,0,1,1,1
1250,3,1,2,0,0,0,2,0,1,1,1
1251,3,0,1,1,0,2,0,0,2,0,3
1252,3,1,0,8,2,3,0,0,11,0,2
1253,2,0,1,1,1,3,1,0,3,0,3
1254,2,0,1,0,0,2,0,0,1,1,3
1255,3,1,1,0,0,1,0,0,1,1,1
1256,1,0,1,1,0,3,1,1,2,0,3
1257,3,0,1,1,9,3,0,0,11,0,3
1258,3,1,1,1,0,2,1,0,2,0,1
1259,3,0,1,0,0,3,0,0,1,1,4
1260,1,0,2,0,1,3,1,0,2,0,3
1261,2,1,1,0,0,1,1,0,1,1,1
1262,2,1,1,1,0,1,0,0,2,0,1
1263,1,0,1,0,0,3,1,1,1,1,4
1264,1,1,3,0,0,0,0,1,1,1,1
1265,2,1,2,0,0,1,0,0,1,1,1
1266,1,0,3,1,1,3,0,1,3,0,3
1267,1,0,2,0,0,3,1,0,1,1,4
1268,3,0,1,2,0,1,0,0,3,0,4
1269,2,1,1,0,0,1,0,0,1,1,1
1270,1,1,3,0,0,3,0,1,1,1,1
1271,3,1,0,4,2,3,0,0,7,0,2
1272,3,1,1,0,0,0,2,0,1,1,1
1273,3,1,1,0,0,0,2,0,1,1,1
1274,3,0,2,0,0,2,0,0,1,1,3
1275,3,0,1,1,0,2,0,0,2,0,3
1276,2,1,2,0,0,1,0,0,1,1,1
1277,2,0,1,1,2,3,0,0,4,0,4
1278,3,1,1,0,0,0,0,0,1,1,1
1279,2,1,3,0,0,1,0,0,1,1,1
1280,3,1,1,0,0,0,2,0,1,1,1
1281,3,1,0,3,1,2,0,0,5,0,2
1282,1,1,1,0,0,3,0,1,1,1,1
1283,1,0,3,0,1,3,0,1,2,0,3
1284,3,1,0,0,2,2,0,0,3,0,2
1285,2,1,2,0,0,1,0,0,1,1,1
1286,3,1,1,3,1,2,0,0,5,0,1
1287,1,0,1,1,0,3,0,1,2,0,3
1288,3,1,1,0,0,0,2,0,1,1,1
1289,1,0,2,1,1,3,1,1,3,0,3
1290,3,1,1,0,0,0,0,0,1,1,1
1291,3,1,1,0,0,0,2,0,1,1,1
1292,1,0,1,0,0,3,0,1,1,1,4
1293,2,1,2,1,0,2,0,0,2,0,1
1294,1,0,1,0,1,3,1,0,2,0,4
1295,1,1,1,0,0,3,0,0,1,1,1
1296,1,1,2,1,0,2,1,1,2,0,1
1297,2,1,1,0,0,1,1,1,1,1,1
1298,2,1,1,1,0,1,0,0,2,0,1
1299,1,1,3,1,1,3,1,1,3,0,1
1300,3,0,1,0,0,0,2,0,1,1,4
1301,3,0,0,1,1,1,0,0,3,0,4
1302,3,0,1,0,0,0,2,0,1,1,4
1303,1,0,2,1,0,3,2,1,2,0,3
1304,3,0,1,0,0,0,0,0,1,1,4
1305,3,1,0,0,0,1,0,0,1,1,1
1306,1,0,2,0,0,3,1,1,1,1,5
1307,3,1,2,0,0,0,0,0,1,1,1
1308,3,1,1,0,0,1,0,0,1,1,1
1309,3,1,2,1,1,2,1,0,3,0,2
